title,description
Crown of the Canopy King,You find a crown made of twigs atop a tree. Wearing it fills you with confidence and a sudden knowledge of bird calls.
The Lantern at Journey’s End,"After a long winding trail, a golden lantern waits for you. When lit, it reveals hidden memories and future paths."
Champion of the Cheese Festival,You win a cheese-stacking contest with flair. The prize? A golden wedge and lifelong bragging rights.
The Bell Beneath the Waterfall,You ring a hidden bell behind the falls. It echoes through the forest—and leaves a treasure chest at your feet.
Wisdom of the Moon Snail,A glowing snail circles you three times. You suddenly understand ancient forest riddles and the value of naps.
The Gem of the Forgotten Foxhole,You follow faint pawprints into a secret den. A glittering gem and a warm cup of something delicious await.
Feast of the Forest Spirits,You’re invited to a glowing feast deep in the woods. Every bite makes your senses sharper and your memories brighter.
The Pine Light Trials,"You light a path using only fallen pinecones. At the end: a scroll, a charm, and the forest’s respect."
The Thunder Acorn,You catch a thunder-charged acorn mid-storm. It hums in your pocket and sparks a new kind of strength in you.
The Final Leap,You leap across a canyon with a roar in your heart. The landing leaves you sore—and richer in both coin and courage.
Echoes of the Elder Grove,Whispers lead you through the ancient trees. You emerge with bark-shaped tokens and knowledge older than time.
